x,y,vX,vY,pY
1162,382,1,1,384
1162,486,1,1,499
1162,550,1,-1,529
1162,446,1,-1,465
1162,342,1,-1,367
1162,238,1,-1,236
1162,134,1,-1,141
1162,30,1,-1,62
1162,30,1,1,62
1162,134,1,1,125
1162,238,1,1,212
1162,342,1,1,359
1162,446,1,1,475
1162,550,1,1,537
1162,486,1,-1,512
1162,382,1,-1,398
1162,278,1,-1,280
1162,174,1,-1,182
1162,70,1,-1,74
1162,94,1,1,113
1162,198,1,1,199
1162,302,1,1,312
1162,382,1,1,372
1162,486,1,1,495
1162,382,1,1,358
1162,486,1,1,485
1162,550,1,-1,530
1162,446,1,-1,434
1162,342,1,-1,343
1162,238,1,-1,240
1162,134,1,-1,121
1162,30,1,-1,72
1162,30,1,1,72
1162,134,1,1,153
1162,238,1,1,239
1162,342,1,1,326
1162,446,1,1,438
1162,550,1,1,528
1162,486,1,-1,466
1162,382,1,-1,376
1162,278,1,-1,298
1162,174,1,-1,180
1162,70,1,-1,61
1162,94,1,1,103
1162,198,1,1,190
1162,302,1,1,284
1162,382,1,1,361
1162,382,1,1,394
1162,486,1,1,467
